Link	Meta_title
https://ieeexplore.ieee.org/abstract/document/9218148	RE @ runtime : the challenge of change REâ€™20 Conference Keynote
https://ieeexplore.ieee.org/abstract/document/114268	Real-time AI; a practical solution to a difficult problem (ESM processing)
https://ieeexplore.ieee.org/document/1663350	Guest Editor's Introduction: New Computers for Artificial Intelligence Processing
https://ieeexplore.ieee.org/document/683209	Otto; Sintek
https://dl.acm.org/doi/10.5555/1981848.1982021	Selection Algorithm Using Artificial Ant Colonies
https://link.springer.com/article/10.1007/s10270-021-00909-7	Arthur; Vanderdonckt
https://www.sciencedirect.com/science/article/pii/S1566253505000928	Pontus; Johansson
https://link.springer.com/chapter/10.1007/3-540-45706-2_132	MALLBA: A Library of Skeletons for Combinatorial Optimisation (Research Note)
https://link.springer.com/chapter/10.1007/3-540-45448-9_32	Jomi Fred; Paula
https://dl.acm.org/doi/abs/10.1145/3233795.3233802	Dilek; Kaplan
https://link.springer.com/chapter/10.1007/11535409_5	Invited Talk: Agent-Oriented Approach to Ubiquitous Computing
https://dl.acm.org/doi/abs/10.1145/3282373.3282384	"J\""{u}rgen"""
https://dl.acm.org/doi/10.5555/1374195.1374203	Clinical Web Environment to Assist the Diagnosis of Alzheimer's Disease and Other Dementias
https://ieeexplore.ieee.org/abstract/document/6676916	Mika V.; Zanoni
https://dl.acm.org/doi/abs/10.1145/3461001.3475157	Jacob; Mosser
https://www.sciencedirect.com/science/article/pii/S1389128616301189	DBStream
https://dl.acm.org/doi/abs/10.1145/2814895.2814922	Alo; Sandler
https://link.springer.com/article/10.1155/ASP.2005.2375	Thomas; Pfeiffer
https://link.springer.com/article/10.1023/B:AURO.0000032938.72058.61	Derik; Radig
https://link.springer.com/chapter/10.1007/978-3-642-22233-7_8	AdapForms: A Framework for Creating and Validating Adaptive Forms
https://www.sciencedirect.com/science/article/pii/S016764231100181X	Jomi F.; Ricci
https://www.sciencedirect.com/science/article/pii/S0950584919300710	Selecting Component Sourcing Options: A Survey of Software Engineeringâ€™s Broader Make-or-Buy Decisions
https://link.springer.com/article/10.1007/s10846-011-9608-y	Christian; Paulus
https://link.springer.com/chapter/10.1007/3-540-48834-0_5	The Cog Project: Building a Humanoid Robot
