link	meta_title	source	doi	title
https://www.scopus.com/inward/record.url?eid=2-s2.0-85059263220&partnerID=40&md5=10c60356e891d21d097d197a8d43430b	a cai approach to a user oriented interactive plotting systemsurips (southerns user interactive plotting system)			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85077766183&partnerID=40&md5=fda7d1b85793d12ee9e660cad4517316	a graphneuralnetwork decoder with mlpbased processing cells for polar codes			
https://www.scopus.com/inward/record.url?eid=2-s2.0-46149138218&partnerID=40&md5=16bc2b37f9a34bb10d44c876defff2b8	a microcad system for design of steel connectionsi. program structure and graphic algorithms			
https://www.scopus.com/inward/record.url?eid=2-s2.0-0028377535&partnerID=40&md5=89ba2103eed5aedcb55051772209dd99	a new objectoriented method integrating jackson structured programming method			
https://www.scopus.com/inward/record.url?eid=2-s2.0-84959911592&partnerID=40&md5=54917c6b9bc8334c449d1930ec23850e	a pathaware approach to mutant reduction in mutation testing			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85135608557&partnerID=40&md5=44b61f20f9e0246f277b633bfb76f727	a pilot study on the empirical investigation of an approach to the threedimensional visualization of objectoriented code structures | eine pilotstudie zur empirischen untersuchung eines ansatzes zur dreidimensionalen visualisierung von objektorientierten codestrukturen			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85053062049&partnerID=40&md5=8777bf44fc5ad8133c34945deed1e331	a pkmbased decisionmaking training program for personal healthcare an action learning approach			
https://www.scopus.com/inward/record.url?eid=2-s2.0-0036441678&partnerID=40&md5=04c968902b06262b274463b65b6b3dec	a postplacement sideeffect removal algorithm			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85102960536&partnerID=40&md5=acd324b8746ac9d061c04b3e70052684	a programming paradigm combining programmer and neural network to promote automated program generation | 一种融合程序员和神经网络的自动化程序生成方法			
https://www.scopus.com/inward/record.url?eid=2-s2.0-44049112282&partnerID=40&md5=cc1f8fddc6aedd43c5098a2be79023cc	a templateoriented approach for simulation program understanding			
