key	project	title	abstract	keywords	authors	venue	doi	references	pages	bibtex	screened_decision	final_decision	mode	inclusion_criteria	exclusion_criteria	reviewer_count	source	year	meta_title	link	publisher	metadata_missing
0	IFT3710	Physics of Language Models: Part 1, Learning Hierarchical Language Structures	Transformer-based language models are effective but complex, and understanding their inner workings is a significant challenge. Previous research has primarily explored how these models handle simple tasks like name copying or selection, and we extend this by investigating how these models grasp complex, recursive language structures defined by context-free grammars (CFGs). We introduce a family of synthetic CFGs that produce hierarchical rules, capable of generating lengthy sentences (e.g., hundreds of tokens) that are locally ambiguous and require dynamic programming to parse. Despite this complexity, we demonstrate that generative models like GPT can accurately learn this CFG language and generate sentences based on it. We explore the model's internals, revealing that its hidden states precisely capture the structure of CFGs, and its attention patterns resemble the information passing in a dynamic programming algorithm.This paper also presents several corollaries, including showing why positional embedding is inferior to relative attention or rotary embedding; demonstrating that encoder-based models (e.g., BERT, deBERTa) cannot learn very deeply nested CFGs as effectively as generative models (e.g., GPT); and highlighting the necessity of adding structural and syntactic errors to the pretraining data to make the model more robust to corrupted language prefixes.		Zeyuan Allen-Zhu; Yuanzhi Li	arXiv	https://doi.org/10.48550/arXiv.2305.13673										arXiv		Physics of Language Models: Part 1, Learning Hierarchical Language Structures	https://arxiv.org/abs/2305.13673	arXiv	nan; Keywords; References; Pages; Year; Bibtex
1	IFT3710	Physics of Language Models: Part 2.2, How to Learn From Mistakes on Grade-School Math Problems	"Language models have demonstrated remarkable performance in solving reasoning tasks; however, even the strongest models still occasionally make reasoning mistakes. Recently, there has been active research aimed at improving reasoning accuracy, particularly by using pretrained language models to ""self-correct"" their mistakes via multi-round prompting. In this paper, we follow this line of work but focus on understanding the usefulness of incorporating ""error-correction"" data directly into the pretraining stage. This data consists of erroneous solution steps immediately followed by their corrections. Using a synthetic math dataset, we show promising results: this type of pretrain data can help language models achieve higher reasoning accuracy directly (i.e., through simple auto-regression, without multi-round prompting) compared to pretraining on the same amount of error-free data. We also delve into many details, such as (1) how this approach differs from beam search, (2) how such data can be prepared, (3) whether masking is needed on the erroneous tokens, (4) the amount of error required, (5) whether such data can be deferred to the fine-tuning stage, and many others."		Tian Ye; Zicheng Xu; Yuanzhi Li; Zeyuan Allen-Zhu	arXiv	https://doi.org/10.48550/arXiv.2408.16293										arXiv		Physics of Language Models: Part 2.2, How to Learn From Mistakes on Grade-School Math Problems	https://arxiv.org/abs/2408.16293	arXiv	nan; Keywords; References; Pages; Year; Bibtex
2	IFT3710	Physics of Language Models: Part 2.1, Grade-School Math and the Hidden Reasoning Process	Recent advances in language models have demonstrated their capability to solve mathematical reasoning problems, achieving near-perfect accuracy on grade-school level math benchmarks like GSM8K. In this paper, we formally study how language models solve these problems. We design a series of controlled experiments to address several fundamental questions: (1) Can language models truly develop reasoning skills, or do they simply memorize templates? (2) What is the model's hidden (mental) reasoning process? (3) Do models solve math questions using skills similar to or different from humans? (4) Do models trained on GSM8K-like datasets develop reasoning skills beyond those necessary for solving GSM8K problems? (5) What mental process causes models to make reasoning mistakes? (6) How large or deep must a model be to effectively solve GSM8K-level math questions?Our study uncovers many hidden mechanisms by which language models solve mathematical questions, providing insights that extend beyond current understandings of LLMs.		Tian Ye; Zicheng Xu; Yuanzhi Li; Zeyuan Allen-Zhu	arXiv	https://doi.org/10.48550/arXiv.2407.20311										arXiv		Physics of Language Models: Part 2.1, Grade-School Math and the Hidden Reasoning Process	https://arxiv.org/abs/2407.20311	arXiv	nan; Keywords; References; Pages; Year; Bibtex
3	IFT3710	Physics of Language Models: Part 3.1, Knowledge Storage and Extraction	"Large language models (LLMs) can store a vast amount of world knowledge, often extractable via question-answering (e.g., ""What is Abraham Lincoln's birthday?""). However, do they answer such questions based on exposure to similar questions during training (i.e., cheating), or by genuinely learning to extract knowledge from sources like Wikipedia?In this paper, we investigate this issue using a controlled biography dataset. We find a strong correlation between the model's ability to extract knowledge and various diversity measures of the training data.Essentially, for knowledge to be reliably extracted, it must be sufficiently augmented (e.g., through paraphrasing, sentence shuffling, translations)during pretraining. Without such augmentation, knowledge may be memorized but not extractable, leading to 0% accuracy, regardless of subsequent instruction fine-tuning.To understand why this occurs, we employ (nearly) linear probing to demonstrate a strong connection between the observed correlation and how the model internally encodes knowledge -- whether it is linearly encoded in the hidden embeddings of entity names or distributed across other token embeddings in the training text.This paper providesseveral key recommendations for LLM pretraining in the industry: (1) rewrite the pretraining data -- using small, auxiliary models -- to provide knowledge augmentation, and (2) incorporate more instruction-finetuning data into the pretraining stage before it becomes too late."		Zeyuan Allen-Zhu; Yuanzhi Li	arXiv	https://doi.org/10.48550/arXiv.2309.14316										arXiv		Physics of Language Models: Part 3.1, Knowledge Storage and Extraction	https://arxiv.org/abs/2309.14316	arXiv	nan; Keywords; References; Pages; Year; Bibtex
4	IFT3710	Physics of Language Models: Part 3.2, Knowledge Manipulation	"Language models can store vast factual knowledge, yet their ability to flexibly use this knowledge for downstream tasks (e.g., via instruction finetuning) remains questionable. This paper investigates four fundamental knowledge manipulation tasks: retrieval (e.g., ""What is person A's attribute X?""), classification (e.g., ""Is A's attribute X even or odd?""), comparison (e.g., ""Is A greater than B in attribute X?""), and inverse search (e.g., ""Which person's attribute X equals T?"").We show that language models excel in knowledge retrieval but struggle even in the simplest classification or comparison tasks unless Chain of Thoughts (CoTs) are employed during both training and inference. Moreover, their performance in inverse knowledge search is virtually 0%, regardless of the prompts. Our primary contribution is a controlled, synthetic experiment that confirms these weaknesses are inherent to language models: they cannot efficiently manipulate knowledge from pre-training data, even when such knowledge is perfectly stored in the models, despite adequate training and sufficient model size. Our findings also apply to modern pretrained language models such as GPT-4, thus giving rise to many Turing tests to distinguish Humans from contemporary AIs."		Zeyuan Allen-Zhu; Yuanzhi Li	arXiv	https://doi.org/10.48550/arXiv.2309.14402										arXiv		Physics of Language Models: Part 3.2, Knowledge Manipulation	https://arxiv.org/abs/2309.14402	arXiv	nan; Keywords; References; Pages; Year; Bibtex
5	IFT3710	Physics of Language Models: Part 3.3, Knowledge Capacity Scaling Laws	Scaling laws describe the relationship between the size of language models and their capabilities. Unlike prior studies that evaluate a model's capability via loss or benchmarks, we estimate the number of knowledge bits a model stores. We focus on factual knowledge represented as tuples, such as (USA, capital, Washington D.C.) from a Wikipedia page. Through multiple controlled datasets, we establish that language models can and only can store 2 bits of knowledge per parameter, even when quantized to int8, and such knowledge can be flexibly extracted for downstream applications. Consequently, a 7B model can store 14B bits of knowledge, surpassing the English Wikipedia and textbooks combined based on our estimation.More broadly, we present 12 results on how (1) training duration, (2) model architecture, (3) quantization, (4) sparsity constraints such as MoE, and (5) data signal-to-noise ratio affect a model's knowledge storage capacity. Notable insights include:* The GPT-2 architecture, with rotary embedding, matches or even surpasses LLaMA/Mistral architectures in knowledge storage, particularly over shorter training durations. This arises because LLaMA/Mistral uses GatedMLP, which is less stable and harder to train.* Prepending training data with domain names (e.g.,this http URL) significantly increases a model's knowledge capacity. Language models can autonomously identify and prioritize domains rich in knowledge, optimizing their storage capacity.		Zeyuan Allen-Zhu; Yuanzhi Li	arXiv	https://doi.org/10.48550/arXiv.2404.05405										arXiv		Physics of Language Models: Part 3.3, Knowledge Capacity Scaling Laws	https://arxiv.org/abs/2404.05405	arXiv	nan; Keywords; References; Pages; Year; Bibtex
6	IFT3710	The First Law of Complexodynamics					https://scottaaronson.blog/?p=762													https://scottaaronson.blog/?p=762		
7	IFT3710	The Unreasonable Effectiveness of Recurrent Neural Networks					https://karpathy.github.io/2015/05/21/rnn-effectiveness/													https://karpathy.github.io/2015/05/21/rnn-effectiveness/		
8	IFT3710	Recurrent Neural Network Regularization					https://arxiv.org/pdf/1409.2329													https://arxiv.org/pdf/1409.2329		
9	IFT3710	Keeping Neural Networks Simple by Minimizing the Description Length of the Weights					https://www.cs.toronto.edu/~fritz/absps/colt93.pdf													https://www.cs.toronto.edu/~fritz/absps/colt93.pdf		
