key	project	title	abstract	keywords	authors	venue	doi	references	pages	bibtex	screened_decision	final_decision	mode	inclusion_criteria	exclusion_criteria	reviewer_count	source	year	meta_title	link	publisher	metadata_missing
0	ModelGuidance	Towards services discovery based on service goal extraction and recommendation			Wang, J.; Zhang, N.; Zeng, C.; Li, Z.; He, K.	Proceedings - IEEE 10th International Conference on Services Computing, SCC 2013					Excluded	Excluded	new_screen			2						
1	ModelGuidance	Model-based performance risk analysis			Cortellessa, V; Goseva-Popstojanova, K; Appukkutty, K; Guedem, AR; Hassan, A; Elnaggar, R; Abdelmoez, W; Ammar, HH	IEEE TRANSACTIONS ON SOFTWARE ENGINEERING					Excluded	Excluded	new_screen			2						
2	ModelGuidance	A hierarchical network-based algorithm for multi-scale watershed delineation			Castronova, A.M.; Goodall, J.L.	Computers and Geosciences					Excluded	Excluded	new_screen			2						
3	ModelGuidance	A temporal logic programming approach to planning			Yang, K.; Tian, C.; Zhang, N.; Duan, Z.; Du, H.	Journal of Combinatorial Optimization					Excluded	Excluded	new_screen			2						
4	ModelGuidance	A family of standards for software and systems product lines			Chimalakonda, S.; Hyung Lee, D.	Computer Standards and Interfaces					Excluded	Excluded	new_screen			2						
5	ModelGuidance	A Hidden Markov Model-Based Approach for Stock Market Return Direction Prediction Borsa Getiri Yönünün Tahmini için Sakli Markov Model Tabanli Yaklaşim			Alnahas, D.; Mujdeci, S.Y.	2021 Turkish National Software Engineering Symposium, UYMS 2021 - Proceedings					Excluded	Excluded	new_screen			2						
6	ModelGuidance	Mutual Learning Networks of Actor Relation Graph for Group Activity Recognition			Lou, Z.Y.; Fan, L.; Ping, K.; Dong, F.X.	2021 18th International Computer Conference on Wavelet Active Media Technology and Information Processing, ICCWAMTIP 2021					Excluded	Excluded	new_screen			2						
7	ModelGuidance	The Möbius framework and its implementation			Deavours, D.D.; Clark, G.; Courtney, T.; Daly, D.; Derisavi, S.; Doyle, J.M.; Sanders, W.H.; Webster, P.G.	IEEE Transactions on Software Engineering					Excluded	Excluded	new_screen			2						
8	ModelGuidance	Graph-Based Prototypical Network for Few-Shot Learning			G. Tao; L. Weichao; H. Yanmin; L. Yu	2021 18th International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP)					Excluded	Excluded	new_screen			2						
9	ModelGuidance	A hybrid conceptual cost estimating model using ANN and GA for power plant projects			Hashemi, S.T.; Ebadati, O.M.E.; Kaur, H.	Neural Computing and Applications					Excluded	Excluded	new_screen			2						
10	ModelGuidance	Software analytics for MDE communities			Williams, J.; Matragkas, N.; Kolovos, D.; Korkontzelos, I.; Ananiadou, S.; Paige, R.	CEUR Workshop Proceedings					Excluded	Excluded	new_screen			2						
11	ModelGuidance	Modeling system integrity of a security critical system using colored petri nets			Houmb, S.H.; Sallhammar, K.	WIT Transactions on the Built Environment					Excluded	Excluded	new_screen			2						
12	ModelGuidance	Socio-Technical Modelling for GDPR Principles: an Extension for the STS-ml			Negri-Ribalta, C.; Noel, R.; Herbaut, N.; Pastor, O.; Salinesi, C.	Proceedings of the IEEE International Conference on Requirements Engineering					Excluded	Excluded	new_screen			2						
13	ModelGuidance	Modeling and reasoning Event-B models based on mathematica			Pan, G.; Li, M.; Ou, G.	ACM International Conference Proceeding Series					Excluded	Excluded	new_screen			2						
14	ModelGuidance	Solution of grid computing flow using MDA methodology			Ji, Y.-M.; Wang, R.-C.	Journal of China Universities of Posts and Telecommunications					Excluded	Excluded	new_screen			2						
15	ModelGuidance	Contextualizing tasks in tele-rehabilitation systems for older people			Rodriguez, A.C.; Roda, C.; González, P.; Navarro, E.	Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)					Excluded	Excluded	new_screen			2						
16	ModelGuidance	Investigating dependencies in software requirements for change propagation analysis			Zhang, He; Li, Juan; Zhu, Liming; Jeffery, Ross; Liu, Yan; Wang, Qing; Li, Mingshu	INFORMATION AND SOFTWARE TECHNOLOGY					Excluded	Excluded	new_screen			2						
17	ModelGuidance	Traceability in Systems Engineering - Review of industrial practices, state-of-the-art technologies and new research solutions			Königs, S.F.; Beier, G.; Figge, A.; Stark, R.	Advanced Engineering Informatics					Excluded	Excluded	new_screen			2						
18	ModelGuidance	Improving Student Engagement With Project-Based Learning: A Case Study in Software Engineering			Morais, Paula; Ferreira, Maria Joao; Veloso, Bruno	IEEE REVISTA IBEROAMERICANA DE TECNOLOGIAS DEL APRENDIZAJE-IEEE RITA					Excluded	Excluded	new_screen			2						
19	ModelGuidance	Software process simulation is simulation too—What can be learned from other domains of simulation?			T. Birkhölzer	2012 International Conference on Software and System Process (ICSSP)					Excluded	Excluded	new_screen			2						
20	ModelGuidance	Towards realizing a formal RBAC model in real systems			Ahn, G.-J.; Hu, H.	Proceedings of ACM Symposium on Access Control Models and Technologies, SACMAT					Excluded	Excluded	new_screen			2						
21	ModelGuidance	A survey on business processes management suites			Meidan, A.; García-García, J.A.; Escalona, M.J.; Ramos, I.	Computer Standards and Interfaces					Excluded	Excluded	new_screen			2						
22	ModelGuidance	An infrastructure for the rapid development of XML-based architecture description languages			E. M. Dashofy; A. van der Hoek; R. N. Taylor	Proceedings of the 24th International Conference on Software Engineering. ICSE 2002					Excluded	Excluded	new_screen			2						
23	ModelGuidance	An approach to class diagram design			Elena, C.	MODELSWARD 2014 - Proceedings of the 2nd International Conference on Model-Driven Engineering and Software Development					Included	Excluded	new_screen			2						
24	ModelGuidance	Oracles for Testing Software Timeliness with Uncertainty			Wang, Chunhui; Pastore, Fabrizio; Briand, Lionel	ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY					Excluded	Excluded	new_screen			2						
25	ModelGuidance	Attack-driven Test Case Generation Approach using Model-checking Technique for Collaborating Systems			Mihret, Z.; Liu, L.	Proceedings - 2021 IEEE/ACM 2nd International Workshop on Engineering and Cybersecurity of Critical Systems, EnCyCriS 2021					Excluded	Excluded	new_screen			2						
26	ModelGuidance	A semi-automated BPMN-based framework for detecting conflicts between security, data-minimization, and fairness requirements			Ramadan, Q.; Strüber, D.; Salnitri, M.; Jürjens, J.; Riediger, V.; Staab, S.	Software and Systems Modeling					Excluded	Excluded	new_screen			2						
27	ModelGuidance	Multi-Neighborhood Learning for Global Alignment in Biological Networks			L. Ma; S. Wang; Q. Lin; J. Li; Z. You; J. Huang; M. Gong	IEEE/ACM Transactions on Computational Biology and Bioinformatics					Excluded	Excluded	new_screen			2						
28	ModelGuidance	Temperature estimation adaptive to variables over distance using infrared–lidar			Kim, J.; Kim, S.	Applied Sciences (Switzerland)					Excluded	Excluded	new_screen			2						
29	ModelGuidance	Simulation analysis of a PCB factory using factorial design - A case study			Chan, F.T.S.; Chan, H.K.	International Journal of Advanced Manufacturing Technology					Excluded	Excluded	new_screen			2						
30	ModelGuidance	Automatically 'Verifying' Discrete-Time Complex Systems through Learning, Abstraction and Refinement			Wang, J.; Sun, J.; Qin, S.; Jegourel, C.	IEEE Transactions on Software Engineering					Excluded	Excluded	new_screen			2						
31	ModelGuidance	Verifying protocol conformance using software model checking for the model-driven development of embedded systems			Moffett, Y.; Dingel, J.; Beaulieu, A.	IEEE Transactions on Software Engineering					Excluded	Excluded	new_screen			2						
32	ModelGuidance	Deriving Complexity Metric based on Use Case Diagram and its validation			Sabharwal, S.; Sibal, R.; Kaur, P.	2014 IEEE International Symposium on Signal Processing and Information Technology, ISSPIT 2014					Included	Excluded	new_screen			2						
33	ModelGuidance	Towards the automated generation of abstract test cases from requirements models			Granda, M.F.; Condori-Fernández, N.; Vos, T.E.J.; Pastor, O.	2014 IEEE 1st International Workshop on Requirements Engineering and Testing, RET 2014 - Proceedings					Excluded	Excluded	new_screen			2						
34	ModelGuidance	AHL: Model-driven engineering of android applications with BLE peripherals			Veisi, P.; Stroulia, E.	Lecture Notes in Business Information Processing					Excluded	Excluded	new_screen			2						
35	ModelGuidance	Intervention of knowledge flows in software process mining projects			S. J. Urrea-Contreras; M. A. Astorga-Vargas; B. L. Flores-Rios; J. E. Ibarra-Esquer; F. F. González-Navarro	2022 IEEE Mexican International Conference on Computer Science (ENC)					Excluded	Excluded	new_screen			2						
36	ModelGuidance	Generating synthetic population at individual and household levels with aggregate data			Watthanasutthi, N.; Muangsin, V.	2016 13th International Joint Conference on Computer Science and Software Engineering, JCSSE 2016					Excluded	Excluded	new_screen			2						
37	ModelGuidance	Cloud service engineering			S. Tai; J. Nimis; A. Lenk; M. Klems	2010 ACM/IEEE 32nd International Conference on Software Engineering					Excluded	Excluded	new_screen			2						
38	ModelGuidance	Health-connect: An ontology-based model-driven information integration framework and its application to integrating clinical databases			Park, J.; Lee, E.K.; Wang, Q.; Li, J.; Lin, Q.; Pu, C.	Proceedings of the 2012 IEEE 13th International Conference on Information Reuse and Integration, IRI 2012					Excluded	Excluded	new_screen			2						
39	ModelGuidance	An Overview of Ontologies and Tool Support for COVID-19 Analytics			Ahmad, A.; Bandara, M.; Fahmideh, M.; Proper, H.A.; Guizzardi, G.; Soar, J.	Proceedings - IEEE International Enterprise Distributed Object Computing Workshop, EDOCW					Excluded	Excluded	new_screen			2						
40	ModelGuidance	Service integration for biometric authentication			S. Javed; U. Norbisrath	2014 International Conference on Emerging Technologies (ICET)					Excluded	Excluded	new_screen			2						
41	ModelGuidance	Research and implementation of Jacobi algorithm based on MPI with checkerboard decomposition			Li, P.; Cao, Y.	Proceedings - 2012 International Conference on Computer Science and Electronics Engineering, ICCSEE 2012					Excluded	Excluded	new_screen			2						
42	ModelGuidance	A decision framework for enterprise resource planning maintenance and upgrade: A client perspective			Ng, C.S.P.	Journal of Software Maintenance and Evolution					Excluded	Excluded	new_screen			2						
43	ModelGuidance	A Cost Model for Compilers Based on Transfer Learning			Y. Sasaki; K. Takahashi; Y. Shimomura; H. Takizawa	2022 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)					Excluded	Excluded	new_screen			2						
44	ModelGuidance	Stock Index Prediction Based on Principal Component Analysis and Machine Learning			S. Zhu; M. Zhao; S. Wei; S. An	2020 International Conference on Big Data & Artificial Intelligence & Software Engineering (ICBASE)					Excluded	Excluded	new_screen			2						
45	ModelGuidance	Automatic generation of implementation in SysML-based model-driven development for IEC 61131-3 control software			Jamro, M.	2014 19th International Conference on Methods and Models in Automation and Robotics, MMAR 2014					Excluded	Excluded	new_screen			2						
46	ModelGuidance	Motivation Process Formalization and Its Application to Education Improvement for the Personal Software Process Course			Umeda, Masanobu; Katamine, Keiichi; Ishibashi, Keiichi; Hashimoto, Masaaki; Yoshida, Takaichi	IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS					Excluded	Excluded	new_screen			2						
47	ModelGuidance	Ensuring consistent dynamic adaptation: An approach from design to runtime			Huynh, N.-T.; Segarra, M.-T.; Beugnard, A.	Proceedings of IEEE/ACS International Conference on Computer Systems and Applications, AICCSA					Excluded	Excluded	new_screen			2						
48	ModelGuidance	Hanging Bridge Algorithm for Pipe-Routing Design in Ship Engine Room			L. Huibiao; Y. Zhefu; S. Peiting	2008 International Conference on Computer Science and Software Engineering					Excluded	Excluded	new_screen			2						
49	ModelGuidance	Requirements Characteristics Verification Method and Tool Based on Rules Constructed Form Software Component Relationships			Phanthanithilerd, N.; Prompoon, N.	Proceedings - 2nd International Conference on Trustworthy Systems and Their Applications, TSA 2015					Excluded	Excluded	new_screen			2						
50	ModelGuidance	An object-oriented approach to automateweb applications development			Pastor, O.; Abrahão, S.; Fons, J.	Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)					Excluded	Excluded	new_screen			2						
51	ModelGuidance	Requirement analysis for event-B modeling			Batjargal, B.; Lee, K.H.	2013 International Conference on Information Science and Applications, ICISA 2013					Excluded	Excluded	new_screen			2						
52	ModelGuidance	Exploration of Human Activities Using Message Streaming Brokers and Automated Logical Reasoning for Ambient-Assisted Services			Klimek, R.	IEEE Access					Excluded	Excluded	new_screen			2						
53	ModelGuidance	Designing a framework for the development of domain-specific process modelling languages			Jannaber, S.; Riehle, D.M.; Delfmann, P.; Thomas, O.; Becker, J.	Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)					Excluded	Excluded	new_screen			2						
54	ModelGuidance	Extracting UML Class Diagrams from Object-Oriented Fortran: ForUML			Nanthaamornphong, Aziz; Carver, Jeffrey; Morris, Karla; Filippone, Salvatore	SCIENTIFIC PROGRAMMING					Excluded	Excluded	new_screen			2						
55	ModelGuidance	Effective software project management education through simulation models: An externally replicated experiment			Rodriguez, D; Satpathy, M; Pfahl, D	PRODUCT FOCUSED SOFTWARE PROCESS IMPROVEMENT					Excluded	Excluded	new_screen			2						
56	ModelGuidance	Research on a Kind of Network Model Construction and its Application of Ethnic Cultural Resources Based on Complex Network			Wen, B.; Xiang, Y.; Gan, J.; Lu, W.	Proceedings of the IEEE International Conference on Software Engineering and Service Sciences, ICSESS					Excluded	Excluded	new_screen			2						
57	ModelGuidance	Translating AADL systems to Java programs			N. Benlahrache; F. Belala; R. A. Younes; Z. Belala	2016 International Conference on Advanced Aspects of Software Engineering (ICAASE)					Excluded	Excluded	new_screen			2						
58	ModelGuidance	Detecting design flaws in UML state charts for embedded software			Elamkulam, J.; Glazberg, Z.; Rabinovitz, I.; Kowlali, G.; Gupta, S.C.; Kohli, S.; Dattathrani, S.; Macia, C.P.	Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)					Excluded	Excluded	new_screen			2						
59	ModelGuidance	A preference meta-model for logic programs with possibilistic ordered disjunction			Confalonieri, R.; Nieves, J.C.; Vázquez-Salceda, J.	CEUR Workshop Proceedings					Excluded	Excluded	new_screen			2						
60	ModelGuidance	Multimedia ontology modeling: An approach based on MPEG-7			Li, Q.; Lu, Z.; Yu, Y.; Liang, L.	2011 3rd International Conference on Advanced Computer Control, ICACC 2011					Excluded	Excluded	new_screen			2						
61	ModelGuidance	A Game Theoretic Model and Tree Analysis Method for Fair Exchange Protocols			G. Li; Y. Gu; X. Tao; J. Tao	2011 Fifth International Conference on Theoretical Aspects of Software Engineering					Excluded	Excluded	new_screen			2						
62	ModelGuidance	Comprehensive Evaluation of an Educational Software Engineering Simulation Environment			E. O. Navarro; A. van der Hoek	20th Conference on Software Engineering Education & Training (CSEET'07)					Excluded	Excluded	new_screen			2						
63	ModelGuidance	Modeling of open normative multiagent systems			Felicíssimo, C.H.; De Lucena, C.J.P.; Briot, J.-P.	ICAART 2009 - Proceedings of the 1st International Conference on Agents and Artificial Intelligence					Excluded	Excluded	new_screen			2						
64	ModelGuidance	Class Schema Evolution for Persistent Object-Oriented Software: Model, Empirical Study, and Automated Support			Piccioni, Marco; Oriol, Manuel; Meyer, Bertrand	IEEE TRANSACTIONS ON SOFTWARE ENGINEERING					Excluded	Excluded	new_screen			2						
65	ModelGuidance	A consistency checking approach for system architecture			Xia, X.; Shi, J.; Fan, Z.; Ai, Z.; Dong, Y.	10th Annual International Systems Conference, SysCon 2016 - Proceedings					Excluded	Excluded	new_screen			2						
66	ModelGuidance	An approach to feature based modelling by dependency alignment for the maintenance of the trustworthy system			Kim, J.; Bae, D.H.	Proceedings - International Computer Software and Applications Conference					Excluded	Excluded	new_screen			2						
67	ModelGuidance	Moral dominance relations for program comprehension			Shaw, SC; Goldstein, M; Munro, M; Burd, E	IEEE TRANSACTIONS ON SOFTWARE ENGINEERING					Excluded	Excluded	new_screen			2						
