	key	project	title	abstract	keywords	authors	venue	doi	references	pages	bibtex	screened_decision	final_decision	mode	inclusion_criteria	exclusion_criteria	reviewer_count	source	year	meta_title	link	publisher	metadata_missing
0		SecSelfAdapt	Self-adaptive trajectory prediction for improving traffic safety in cloud-edge based transportation systems			Bin Xie, Kun Zhang, Yi Zhao, Yunchun Zhang, Ying Cai, Tian Wang		https://doi.org/10.1186/s13677-020-00220-8									2	Springer Link	2021				
1		SecSelfAdapt	A Novel Family of Queuing Network Models for Self-adaptive Systems			Davide Arcelli		https://doi.org/10.1007/978-3-030-67445-8_15									2	Springer Link	2021				
2		SecSelfAdapt	A Comprehensive Study on Vehicular Ad Hoc Networks: Architecture, Security and Privacy Challenges, and Future Trends			Upendra Singh		https://doi.org/10.1007/978-981-15-5341-7_67									2	Springer Link	2021				
3		SecSelfAdapt	Dynamic Safety Certification for Collaborative Embedded Systems at Runtime			David Santiago Velasco Moncada, Daniel Schneider, Ana Petrovska, Nishanth Laxman, Felix Möhrle, Stefan Rothbauer, Marc Zeller, Chee Hung Koo, Samira Safdari		https://doi.org/10.1007/978-3-030-62136-0_8									2	Springer Link	2021				
4		SecSelfAdapt	Quality Assurance for AI-Based Systems: Overview and Challenges (Introduction to Interactive Session)			Michael Felderer, Rudolf Ramler		https://doi.org/10.1007/978-3-030-65854-0_3									2	Springer Link	2021				
5		SecSelfAdapt	Intelligent Opportunistic Routing Protocol in Wireless Sensor Networks: A Security Perspective			Deep Kumar Bangotra, Yashwant Singh, Arvind Selwal		https://doi.org/10.1007/978-981-15-8297-4_19									2	Springer Link	2021				
6		SecSelfAdapt	Towards a Security-Aware Deployment of Data Streaming Applications in Fog Computing			Gabriele Russo Russo, Valeria Cardellini, Francesco Lo Presti, Matteo Nardelli		https://doi.org/10.1007/978-3-030-57328-7_14									2	Springer Link	2021				
7		SecSelfAdapt	Uncertainty representation in software models: a survey			Javier Troya, Nathalie Moreno, Manuel F. Bertoa, Antonio Vallecillo		https://doi.org/10.1007/s10270-020-00842-1									2	Springer Link	2021				
8		SecSelfAdapt	WSN Applications			Hossam Mahmoud, Ahmad Fahmy		https://doi.org/10.1007/978-3-030-58015-5_3									2	Springer Link	2021				
9		SecSelfAdapt	Cross-Layer Protocols for WSNs			Hossam Mahmoud, Ahmad Fahmy		https://doi.org/10.1007/978-3-030-58015-5_5									2	Springer Link	2021				
10		SecSelfAdapt	Intelligent automated drug administration and therapy: future of healthcare			Richa Sharma, Dhirendra Singh, Prerna Gaur, Deepak Joshi		https://doi.org/10.1007/s13346-020-00876-4									2	Springer Link	2021				
11		SecSelfAdapt	The state-of-practice in requirements elicitation: an extended interview study at 12 companies			Cristina Palomares, Xavier Franch, Carme Quer, Panagiota Chatzipetrou, Lidia López, Tony Gorschek		https://doi.org/10.1007/s00766-020-00345-x									2	Springer Link	2021				
12		SecSelfAdapt	Transformative Maintenance Technologies and Business Solutions for the Railway Assets			Uday Kumar, Diego Galar		https://doi.org/10.1007/978-3-030-55732-4_25									2	Springer Link	2021				
13		SecSelfAdapt	A Cyber-Physical Warehouse Management System Architecture in an Industry 4.0 Context			Mariam Moufaddal, Asmaa Benghabrit, Imane Bouhaddou		https://doi.org/10.1007/978-3-030-51186-9_9									2	Springer Link	2021				
14		SecSelfAdapt	Building adaptive context-aware service-based smart systems			Soufiane Faieq, Rajaa Saidi, Hamid El Ghazi,  Agnès Front, Moulay Driss Rahmani		https://doi.org/10.1007/s11761-020-00310-0									2	Springer Link	2021				
15		SecSelfAdapt	Optimal Multipath Routing for Video Transmission in VANETs			Shivaprasad More, Udaykumar Naik		https://doi.org/10.1007/s11277-020-07740-1									2	Springer Link	2021				
16		SecSelfAdapt	A hybrid chaotic map with coefficient improved whale optimization-based parameter tuning for enhanced image encryption			S. Saravanan, M. Sivabalakrishnan		https://doi.org/10.1007/s00500-020-05528-w									2	Springer Link	2021				
17		SecSelfAdapt	Drone Forensics: The Impact and Challenges			S. Atkinson, G. Carr, C. Shaw, S. Zargari		https://doi.org/10.1007/978-3-030-60425-7_4									2	Springer Link	2021				
18		SecSelfAdapt	Nature-Inspired Optimization Algorithms for Renewable Energy Generation, Distribution and Management—A Comprehensive Review			Vamsi Krishna Reddy Aala Kalananda, Venkata Lakshmi Narayana Komanapalli		https://doi.org/10.1007/978-981-15-9968-2_6									2	Springer Link	2021				
19		SecSelfAdapt	Reinforcement based mobile robot path planning with improved dynamic window approach in unknown environment			Lu Chang, Liang Shan, Chao Jiang, Yuewei Dai		https://doi.org/10.1007/s10514-020-09947-4									2	Springer Link	2021				
20		SecSelfAdapt	Levy Interior Search Algorithm-Based Multi-objective Optimal Reactive Power Dispatch for Voltage Stability Enhancement			N. Karthik, A. K. Parvathy, R. Arul, K. Padmanathan		https://doi.org/10.1007/978-981-15-7241-8_17									2	Springer Link	2021				
21		SecSelfAdapt	PSO Based Optimal Reactive Power Dispatch for the Enrichment of Power System Performance			K. Manasvi, B. Venkateswararao, Ramesh Devarapalli, Upendra Prasad		https://doi.org/10.1007/978-981-15-7994-3_24									2	Springer Link	2021				
22		SecSelfAdapt	Applications of Decision Tree and Random Forest Methods for Real-Time Voltage Stability Assessment Using Wide Area Measurements			Heng-Yi Su, Yu-Jen Lin, Chia-Chi Chu		https://doi.org/10.1007/978-3-030-54275-7_14									2	Springer Link	2021				
23		SecSelfAdapt	Processes in Insurance 4.0			Bernardo Nicoletti		https://doi.org/10.1007/978-3-030-58426-9_9									2	Springer Link	2021				
24		SecSelfAdapt	Research on an Adaptive Weighted Fusion Algorithm Under the Edge Computing Framework of Power Internet of Things			Haiqing Wang, Xingshen Wei, Wei Liu, Guo Hu		https://doi.org/10.1007/978-981-15-9746-6_65									2	Springer Link	2021				
25		SecSelfAdapt	Biological computation and computational biology: survey, challenges, and discussion			Zaineb Chelly Dagdia, Pavel Avdeyev, Md. Shamsuzzoha Bayzid		https://doi.org/10.1007/s10462-020-09951-1									2	Springer Link	2021				
26		SecSelfAdapt	Advances in Sine Cosine Algorithm: A comprehensive survey			Laith Abualigah, Ali Diabat		https://doi.org/10.1007/s10462-020-09909-3									2	Springer Link	2021				
27		SecSelfAdapt	Artificial intelligence for decision support systems in the field of operations research: review and future scope of research			Shivam Gupta, Sachin Modgil, Samadrita Bhattacharyya, Indranil Bose		https://doi.org/10.1007/s10479-020-03856-6									2	Springer Link	2021				
28		SecSelfAdapt	Analysis and Comparison of Routing Protocols in Wireless Sensor Networks			Binbin Yu		https://doi.org/10.1007/978-3-030-51431-0_53									2	Springer Link	2021				
29		SecSelfAdapt	Optimized Route Discovery and Node Registration for FANET			Vinay Bhardwaj, Navdeep Kaur		https://doi.org/10.1007/978-981-15-7804-5_17									2	Springer Link	2021				
30		SecSelfAdapt	The Machine Metropolis: Introduction to the Automated City			Brydon T. Wang		https://doi.org/10.1007/978-981-15-8670-5_1									2	Springer Link	2021				
31		SecSelfAdapt	Developments on Metaheuristic-Based Optimization in Structural Engineering			Aylin Ece Kayabekir, Gebrail Bekdaş, Sinan Melih Nigdeli		https://doi.org/10.1007/978-3-030-61848-3_1									2	Springer Link	2021				
32		SecSelfAdapt	Enhanced Sine-Cosine Algorithm for Optimal Planning of Distribution Network by Incorporating Network Reconfiguration and Distributed Generation			Usharani Raut, Sivkumar Mishra		https://doi.org/10.1007/s13369-020-04808-9									2	Springer Link	2021				
33		SecSelfAdapt	Optimal Reactive Power Dispatch Solution by Loss Minimisation Using Dragonfly Optimization Algorithm			Ibrahim Haruna Shanono, Masni Ainina Mahmud, Nor Rul Hasma Abdullah, Mahfuzah Mustafa, Rosdiyana Samad, Dwi Pebrianti, Aisha Muhammad		https://doi.org/10.1007/978-981-15-5281-6_77									2	Springer Link	2021				
34		SecSelfAdapt	Pollution source intelligent location algorithm in water quality sensor networks			Xuesong Yan, Jingyu Gong, Qinghua Wu		https://doi.org/10.1007/s00521-020-05000-8									2	Springer Link	2021				
35		SecSelfAdapt	Phase Balancing of DG-Integrated Smart Secondary Distribution Network			Swapna Mansani, R. Y. Udaykumar, Santoshkumar, M. A. Asha Rani, S. Sreejith		https://doi.org/10.1007/978-981-15-7241-8_23									2	Springer Link	2021				
36		SecSelfAdapt	Investigations on Salp Swarm Algorithm to Solve Combined Heat and Power Economic Dispatch			Arunachalam Sundaram, A. Peer Fathima, Morris Stella, F. Ruby Vincy Roy		https://doi.org/10.1007/978-981-15-7241-8_25									2	Springer Link	2021				
37		SecSelfAdapt	Self-adaptive Microservices in Automotive Systems			Ahmad Banijamali, Pasi Kuvaja, Markku Oivo, Pooyan Jamshidi		https://doi.org/10.1007/978-3-030-64148-1_23									2	Springer Link	2020				
38		SecSelfAdapt	Scen@rist: an approach for verifying self-adaptive systems using runtime scenarios			Rômulo Gadelha, Lucas Vieira, Davi Monteiro, Felipe Vidal, Paulo Henrique Maia		https://doi.org/10.1007/s11219-019-09486-x									2	Springer Link	2020				
39		SecSelfAdapt	A preliminary analysis of self-adaptive systems according to different issues			Claudia Raibulet, Francesca Arcelli Fontana, Simone Carettoni		https://doi.org/10.1007/s11219-020-09502-5									2	Springer Link	2020				
40		SecSelfAdapt	Research on Self-adaptive Strategy of Video Communication in Power Transmission and Transformation Project			Yingwei Yi, Feng Lin, Yu Ye, Lifu He, Jiabin Zou		https://doi.org/10.1007/978-981-13-9779-0_65									2	Springer Link	2020				
41		SecSelfAdapt	Alleviation of Safety Measures in Underground Coal Mines Using Wireless Sensor Network: A Survey			Raghunath Rout, Jitendra Pramanik, Sameer Kumar Das, Abhaya Kumar Samal		https://doi.org/10.1007/978-981-15-1884-3_37									2	Springer Link	2020				
42		SecSelfAdapt	The Principle of Cyberspace Mimic Defense			Jiangxing Wu		https://doi.org/10.1007/978-3-030-29844-9_9									2	Springer Link	2020				
43		SecSelfAdapt	DHR Architecture			Jiangxing Wu		https://doi.org/10.1007/978-3-030-29844-9_7									2	Springer Link	2020				
44		SecSelfAdapt	Artificial intelligence-driven autonomous optical networks: 3S architecture and key technologies			Yuefeng Ji, Rentao Gu, Zeyuan Yang, Jin Li, Hui Li, Min Zhang		https://doi.org/10.1007/s11432-020-2871-2									2	Springer Link	2020				
45		SecSelfAdapt	Taxonomy of IoT Vulnerabilities			Elias Bou-Harb, Nataliia Neshenko		https://doi.org/10.1007/978-3-030-45858-4_2									2	Springer Link	2020				
46		SecSelfAdapt	Secure and Resilient Communications in the Industrial Internet			Mohammad Borhani, Madhusanka Liyanage, Ali Hassan Sodhro, Pardeep Kumar, Anca Delia Jurcut, Andrei Gurtov		https://doi.org/10.1007/978-3-030-44685-7_9									2	Springer Link	2020				
47		SecSelfAdapt	Capturing Dynamicity and Uncertainty in Security and Trust via Situational Patterns			Tomas Bures, Petr Hnetynka, Robert Heinrich, Stephan Seifermann, Maximilian Walter		https://doi.org/10.1007/978-3-030-61470-6_18									2	Springer Link	2020				
48		SecSelfAdapt	The scenario coevolution paradigm: adaptive quality assurance for adaptive systems			Thomas Gabor, Andreas Sedlmeier, Thomy Phan, Fabian Ritz, Marie Kiermeier, Lenz Belzner, Bernhard Kempter, Cornel Klein, Horst Sauer, Reiner Schmid, Jan Wieghardt, Marc Zeller, Claudia Linnhoff-Popien		https://doi.org/10.1007/s10009-020-00560-5									2	Springer Link	2020				
49		SecSelfAdapt	A review of research on medical image confidentiality related technology coherent taxonomy, motivations, open challenges and recommendations			Bin Zhang, Bahbibi Rahmatullah, Shir Li Wang, A. A. Zaidan, B. B. Zaidan, Penghui Liu		https://doi.org/10.1007/s11042-020-09629-4									2	Springer Link	2020				
50		SecSelfAdapt	Analysis on Diversity, Randomness, and Dynameicity			Jiangxing Wu		https://doi.org/10.1007/978-3-030-29844-9_5									2	Springer Link	2020				
51		SecSelfAdapt	Conventional Defense Technologies			Jiangxing Wu		https://doi.org/10.1007/978-3-030-29844-9_3									2	Springer Link	2020				
52		SecSelfAdapt	Fuzzy Neural Network Based Optimal and Fair Real Power Management for Voltage Security in Distribution Networks with High PV Penetration			Jindong Yang, Junyuan Luo, Haitao Zhang		https://doi.org/10.1007/s42835-020-00527-1									2	Springer Link	2020				
53		SecSelfAdapt	Literature review of Industry 4.0 and related technologies			Ercan Oztemel, Samet Gursev		https://doi.org/10.1007/s10845-018-1433-8									2	Springer Link	2020				
54		SecSelfAdapt	Testing adaptation policies for software components			Frédéric Dadeau, Jean-Philippe Gros, Olga Kouchnarenko		https://doi.org/10.1007/s11219-019-09487-w									2	Springer Link	2020				
55		SecSelfAdapt	CIoTAS protocol: CloudIoT available services protocol through autonomic computing against distributed denial of services attacks			Bouchera Maati, Djamel Eddine Saidouni		https://doi.org/10.1007/s12652-020-02556-0									2	Springer Link	2020				
56		SecSelfAdapt	A Design of Cyber-Physical System Architecture for Smart City			Xinghua Xia, Changxiao Liu, Hongcheng Wang, Zhonghua Han		https://doi.org/10.1007/978-981-13-9406-5_116									2	Springer Link	2020				
57		SecSelfAdapt	System Health Indicators in Mixed Criticality E/E Systems in Automated Driving Context			Friederike Dollinger, Rinat Asmus, Marc Dreiser		https://doi.org/10.1007/978-3-030-59155-7_36									2	Springer Link	2020				
58		SecSelfAdapt	A framework for Model-Driven Engineering of resilient software-controlled systems			Jacopo Parri, Fulvio Patara, Samuele Sampietro, Enrico Vicario		https://doi.org/10.1007/s00607-020-00841-6									2	Springer Link	2020				
59		SecSelfAdapt	An active safety control method of collision avoidance for intelligent connected vehicle based on driving risk perception			Chuan Sun, Sifa Zheng, Yulin Ma, Duanfeng Chu, Junru Yang, Yuncheng Zhou, Yicheng Li, Tingxuan Xu		https://doi.org/10.1007/s10845-020-01605-x									2	Springer Link	2020				
60		SecSelfAdapt	Rigorous engineering of collective adaptive systems: special section			Rocco De Nicola, Stefan Jähnichen, Martin Wirsing		https://doi.org/10.1007/s10009-020-00565-0									2	Springer Link	2020				
61		SecSelfAdapt	A review on lightweight cryptography for Internet-of-Things based applications			Vidya Rao, K. V. Prema		https://doi.org/10.1007/s12652-020-02672-x									2	Springer Link	2020				
62		SecSelfAdapt	Platforms for Procurement 4.0			Bernardo Nicoletti		https://doi.org/10.1007/978-3-030-35979-9_4									2	Springer Link	2020				
63		SecSelfAdapt	Study on the Preparation of the Precursor of the Li-ion Screen Based on Big Data Analysis			Xiang Xiao, Zhuan Wei, Pei Pei		https://doi.org/10.1007/978-3-030-51103-6_2									2	Springer Link	2020				
64		SecSelfAdapt	When artificial intelligence meets building energy efficiency, a review focusing on zero energy building			Biao Yan, Fei Hao, Xi Meng		https://doi.org/10.1007/s10462-020-09902-w									2	Springer Link	2020				
65		SecSelfAdapt	Design of an Intelligent, Safe and Secure Transport Unit for the Physical Internet			Roman Gumzej, Maytiyanin Komkhao, Sunantha Sodsee		https://doi.org/10.1007/978-3-030-44044-2_7									2	Springer Link	2020				
66		SecSelfAdapt	Big data platform of traffic violation detection system: identifying the risky behaviors of vehicle drivers			Shiva Asadianfam, Mahboubeh Shamsi, Abdolreza Rasouli Kenari		https://doi.org/10.1007/s11042-020-09099-8									2	Springer Link	2020				
