project	key	title	abstract	doi	decision	mode	exclusion_criteria	reviewer_count
	ACM14_B1	Tailoring persuasive health games to gamer type,	Persuasive games are an effective approach for motivating health behavior, and recent years have seen an increase in games designed for changing human behaviors or attitudes. However, these games are limited in two major ways: first, they are not based on theories of what motivates healthy behavior change. This makes it difficult to evaluate why a persuasive approach works. Second, most persuasive games treat players as a monolithic group. As an attempt to resolve these weaknesses, we conducted a large-scale survey of 642 gamers’ eating habits and their associated determinants of healthy behavior to understand how health behavior relates to gamer type. We developed seven different models of healthy eating behavior for the gamer types identified by BrainHex. We then explored the differences between the models and created two approaches for effective persuasive game design based on our results. The first is a one-size-fits-all approach that will motivate the majority of the population, while not demotivating any players. The second is a personalized approach that will best motivate a particular type of gamer. Finally, to make our approaches actionable in persuasive game design, we map common game mechanics to the determinants of healthy behavior. Copyright 2013 ACM.,” in Conference on Human Factors in Computing Systems - Proceedings, 2013, pp. 2467–2476. doi: 10.1145/2470654.2481341.		Ex	new_screen		
	ACM14_F1	CoachAI: A Conversational Agent Assisted Health Coaching Platform,	Poor lifestyle represents a health risk factor and is the leading cause of morbidity and chronic conditions. The impact of poor lifestyle can be significantly altered by individual behavior change. Although the current shift in healthcare towards a long lasting modifiable behavior, however, with increasing caregiver workload and individuals’ continuous needs of care, there is a need to ease caregiver’s work while ensuring continuous interaction with users. This paper describes the design and validation of CoachAI, a conversational agent assisted health coaching system to support health intervention delivery to individuals and groups. CoachAI instantiates a text based healthcare chatbot system that bridges the remote human coach and the users. This research provides three main contributions to the preventive healthcare and healthy lifestyle promotion: (1) it presents the conversational agent to aid the caregiver; (2) it aims to decrease caregiver’s workload and enhance care given to users, by handling (automating) repetitive caregiver tasks; and (3) it presents a domain independent mobile health conversational agent for health intervention delivery. We will discuss our approach and analyze the results of a one month validation study on physical activity, healthy diet and stress management.,” 2019, [Online]. Available: http://arxiv.org/abs/1904.11961		Ex	new_screen		
	ACM14_F2	FitChat: Conversational Artificial Intelligence Interventions for Encouraging Physical Activity in Older Adults,	Delivery of digital behaviour change interventions which encourage physical activity has been tried in many forms. Most often interventions are delivered as text notifications, but these do not promote interaction. Advances in conversational AI have improved natural language understanding and generation, allowing AI chatbots to provide an engaging experience with the user. For this reason, chatbots have recently been seen in healthcare delivering digital interventions through free text or choice selection. In this work, we explore the use of voice-based AI chatbots as a novel mode of intervention delivery, specifically targeting older adults to encourage physical activity. We co-created ‘FitChat’, an AI chatbot, with older adults and we evaluate the first prototype using Think Aloud Sessions. Our thematic evaluation suggests that older adults prefer voice-based chat over text notifications or free text entry and that voice is a powerful mode for encouraging motivation.,” 2020, [Online]. Available: http://arxiv.org/abs/2004.14067		Ex	new_screen		
	ACM14_F3	Assistive Conversational Agent for Health Coaching: A Validation Study,	Objective Poor lifestyle represents a health risk factor and is the leading cause of morbidity and chronic conditions. The impact of poor lifestyle can be significantly altered by individual’s behavioral modification. Although there are abundant lifestyle promotion applications and tools, they are still limited in providing tailored social support that goes beyond their predefined functionalities. In addition, virtual coaching approaches are still unable to handle user emotional needs. Our approach presents a human-virtual agent mediated system that leverages the conversational agent to handle menial caregiver’s works by engaging users (e.g., patients) in a conversation with the conversational agent. The dialog used a natural conversation to interact with users, delivered by the conversational agent and handled with a finite state machine automaton. Our research differs from existing approaches that replace a human coach with a fully automated assistant on user support. The methodology allows users to interact with the technology and access health-related interventions. To assist physicians, the conversational agent gives weighting to user’s adherence, based on prior defined conditions. Materials and Methods This article describes the design and validation of CoachAI, a conversational agent-assisted health coaching system to support health intervention delivery to individuals or groups. CoachAI instantiates a text-based health care conversational agent system that bridges the remote human coach and the users. Results We will discuss our approach and highlight the outcome of a 1-month validation study on physical activity, healthy diet, and stress coping. The study validates technology aspects of our human-virtual agent mediated health coaching system. We present the intervention settings and findings from the study. In addition, we present some user-experience validation results gathered during or after the experimentation. Conclusions The study provided a set of dimensions when building a human-conversational agent powered health intervention tool. The results provided interesting insights when using human-conversational agent mediated approach in health coaching systems. The findings revealed that users who were highly engaged were also more adherent to conversational-agent activities. This research made key contributions to the literature on techniques in providing social, yet tailored health coaching support: (1) identifying habitual patterns to und…,” vol. 58, no. 1, pp. 9–23, 2019, doi: 10.1055/s-0039-1688757.		Ex	new_screen		
	ACM280_B1	Indoor wayfinding: Developing a functional interface for individuals with cognitive impairments,	Assistive technology for wayfinding will significantly improve the quality of life for many individuals with cognitive impairments. The user interface of such a system is as crucial as the underlying implementation and localization technology. We built a system using the Wizard-of-Oz technique that let us experiment with many guidance strategies and interface modalities. Through user studies, we evaluated various configurations of the user interface for accuracy of route completion, time to completion, and user preferences. We used a counter-balanced design that included different modalities (images, audio, and text) and different routes. We found that although users were able to use all types of modalities to find their way indoors, they varied significantly in their preferred modalities. We also found that timing of directions requires careful attention, as does providing users with confirmation messages at appropriate times. Our findings suggest that the ability to adapt indoor wayfinding devices for specific users’ preferences and needs will be particularly important. Copyright 2006 ACM.,” in Eighth International ACM SIGACCESS Conference on Computers and Accessibility, ASSETS 2006, 2006, vol. 2006, pp. 95–102. doi: 10.1145/1168987.1169005.		In	new_screen		
	ACM290_F1	Guided play: Digital sensing and coaching for stereotypical play behavior in children with autism,	Restricted and repetitive behaviors (RRBs) are a core symptom and an early marker of autism. Current research and intervention for RRB heavily rely on professional experience and effort. Guided Play is a technology that uses instrumented games and toys as a platform to understand children’s play behavior and facilitate behavioral intervention during play. This paper presents the design and implementation of a prototype based on the technology, as well as an evaluation on 6 children with autism. The results show that children with RRBs in physical world activities also exhibit similar patterns in a similar digital activity, and that digital coaching can reduce RRBs by expanding children’s play skill repertoire and promoting symbolic play.,” in International Conference on Intelligent User Interfaces, Proceedings IUI, 2019, vol. Part F147615, pp. 208–217. doi: 10.1145/3301275.3302309.		In	new_screen		
	ACM473_B3	LunchTime: A slow-casual game for long-term dietary behavior change,	Eating out has recently become part of our lifestyle. However, when eating out in restaurants, many people find it difficult to make meal choices consistent with their health goals. Bad eating choices and habits are in part responsible for the alarming increase in the prevalence of chronic diseases such as obesity, diabetes, and high blood pressure, which burden the health care system. Therefore, there is a need for an intervention that educates the public on how to make healthy choices while eating away from home. In this paper, we propose a goal-based slow-casual game approach that addresses this need. This approach acknowledges different groups of users with varying health goals and adopts slow technology to promote learning and reflection. We model two recognized determinants of well-being into dietary interventions and provide feedback accordingly. To demonstrate the suitability of our approach for long-term sustained learning, reflection, and attitude and/or behavior change, we develop and evaluate LunchTime - a goal-based slow-casual game that educates players on how to make healthier meal choices. The result from the evaluation shows that LunchTime facilitates learning and reflection and promotes positive dietary attitude change. © 2012 Springer-Verlag London Limited.,” vol. 17, no. 6, pp. 1211–1221, 2013, doi: 10.1007/s00779-012-0590-6.		In	new_screen		
	ACM473_B6	Towards personality-driven persuasive health games and gamified systems,	Persuasive games and gamified systems are effective tools for motivating behavior change using various persuasive strategies. Research has shown that tailoring these systems can increase their efficacy. However, there is little knowledge on how game-based persuasive systems can be tailored to individuals of various personality traits. To advance research in this area, we conducted a large-scale study of 660 participants to investigate how different personalities respond to various persuasive strategies that are used in persuasive health games and gamified systems. Our results reveal that people’s personality traits play a significant role in the perceived persuasiveness of different strategies. Conscientious people tend to be motivated by goal setting, simulation, self-monitoring and feedback; people who are more open to experience are more likely to be demotivated by rewards, competition, comparison, and cooperation. We contribute to the CHI community by offering design guidelines for tailoring persuasive games and gamified designs to a particular group of personalities.,” in Conference on Human Factors in Computing Systems - Proceedings, 2017, vol. 2017-May, pp. 1015–1027. doi: 10.1145/3025453.3025577.		Ex	new_screen		
	ACM473_F1	Personalizing persuasive strategies in gameful systems to gamification user types,	Persuasive gameful systems are effective tools for motivating behaviour change. Research has shown that tailoring these systems to individuals can increase their efficacy; however, there is little knowledge on how to personalize them. We conducted a large-scale study of 543 participants to investigate how different gamification user types responded to ten persuasive strategies depicted in storyboards representing persuasive gameful health systems. Our results reveal that people’s gamification user types play significant roles in the perceived persuasiveness of different strategies. People scoring high in the’player’ user type tend to be motivated by competition, comparison, cooperation, and reward while’disruptors’ are likely to be demotivated by punishment, goal-setting, simulation, and self-monitoring.’Socialisers’ could be motivated using any of the strategies; they are the most responsive to persuasion overall. Finally, we contribute to CHI research and practice by offering design guidelines for tailoring persuasive gameful systems to each gamification user type.,” in Conference on Human Factors in Computing Systems - Proceedings, 2018, vol. 2018-April, pp. 1–14. doi: 10.1145/3173574.3174009.		Ex	new_screen		
	ACM473_F2	Understanding the effect of existing positive relationships on a social motion-based game for health,	In this paper, we present the iterative design of StepQuest, a Fitbit-based social motion-based game for health (MGH) to sustain physical activity (PA) and support extended play. We conducted two 6-week user studies (n=24) to evaluate the effectiveness of the game to promote PA for an extended period of time as well as the role of existing social relationship. Our findings indicate that a pre-existing positive relationship (e.g., friendship) has a positive impact on players’ PA levels when they play a social MGH, compared to strangers, and that this effect was amplified when more gameplay actions were available. However, our results also show that overall PA levels declined for both groups in week 4, and that preexisting social relationship and a variety of gameplay actions are not enough to sustain long-term motivation for PA. Based on these results and drawing from game design literature, we present a list of design implications including less-discussed key topics such as game balancing.,” in ACM International Conference Proceeding Series, 2018, pp. 77–87. doi: 10.1145/3240925.3240942.		Ex	new_screen		
