link	meta_title	source	doi	title
https://www.sciencedirect.com/science/article/pii/S0097849305000476?casa_token=xKkmN8-4W2UAAAAA:oea-NTg1QtNHJ85mbhDcaKgaJQUGtaFZIxRda8HcU8qpeykjV7avsFORcSqYbJPYxn3XGadCWQ	3d visualization techniques to support slicingbased program comprehension			
https://www.sciencedirect.com/science/article/pii/S0950584910002041?casa_token=I2FkCBzVQuAAAAAA:YxTH0LLTP5SqxIxHDzWqwyWvu40RmlmWm43UZLqYXYiQ7fXAlFNaPUwsa6pPFfzMHLXozA0xnQ	a controlled experiment in assessing and estimating software maintenance tasks			
https://www.scopus.com/record/display.uri?eid=2-s2.0-84863322306&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28a+demand+driven+approach+to+slicing+legacy+cobol+systems%29	a demanddriven approach to slicing legacy cobol systems			
https://link.springer.com/article/10.1007/s10664-013-9248-x	a family of experiments to assess the effectiveness and efficiency of source code obfuscation techniques			
https://dl.acm.org/doi/10.1145/2380552.2380596	a feasibility study on using clustering algorithms in programming education research			
https://dl.acm.org/doi/10.1145/3382494.3410680	a largescale comparative analysis of coding standard conformance in opensource data science projects			
https://www.sciencedirect.com/science/article/pii/S0164121219302602	a machinelearning based ensemble method for antipatterns detection			
https://link.springer.com/article/10.1007/s10270-018-0700-7	a multiparadigm modelling approach to live modelling			
https://link.springer.com/article/10.1007/s11831-010-9045-2	an objectoriented environment for developing finite element codes for multidisciplinary applications			
https://ieeexplore.ieee.org/document/1114999	aspectcapable call path profiling of multithreaded java applications			
https://www.scopus.com/record/display.uri?eid=2-s2.0-85009080930&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28assessing+AND+the+AND+contribution+AND+of+AND+the+AND+individual+AND+alpha+AND+frequency++in+AND+an+AND+eeg+AND+based+AND+study+AND+of+AND+program+AND+comprehension%29&sessionSearchId=537a26236ebabfd1b93f514531c06957	assessing the contribution of the individual alpha frequency (iaf) in an eegbased study of program comprehension			
https://dl.acm.org/doi/10.1145/1854273.1854336	data layout transformation exploiting memorylevel parallelism in structured grid manycore applications			
https://link.springer.com/article/10.1007/s10664-022-10209-3	deja vu semanticsaware recording and replay of highspeed eye tracking and interaction data to support cognitive studies of software engineering tasks—methodology and analyses			
https://link.springer.com/article/10.1007/s10664-016-9483-z	effectiveness and efficiency of a domainspecific language for highperformance marine ecosystem simulation a controlled experiment			
https://link.springer.com/article/10.1007/s10515-008-0040-x	fast extraction of highquality frameworkspecific models from application code			
https://ieeexplore.ieee.org/document/9803782	investigation of coding values of signal samples during analogtodigital conversion			
https://link.springer.com/article/10.1007/s11219-019-09480-3	mining association rules from code (marc) to support legacy software management			
https://dl.acm.org/doi/10.1007/s10664-017-9593-2	program comprehension of domainspecific and generalpurpose languages comparison using a family of experiments			
https://link.springer.com/article/10.1007/s10664-017-9593-2	program comprehension of domainspecific and generalpurpose languages replication of a family of experiments using integrated development environments			
https://www.scopus.com/record/display.uri?eid=2-s2.0-85048470402&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE%28protein+AND+sequences+AND+recapitulate+AND+genetic+AND+code+AND+evolution%29&sessionSearchId=a99dce5dda469bf7ac8e523027b8377f	protein sequences recapitulate genetic code evolution			
https://link.springer.com/article/10.1007/s10515-012-0103-x	scenariobased and valuebased specification mining better together			
https://link.springer.com/article/10.1007/s10514-021-10002-z	semidense visualinertial odometry and mapping for computationally constrained platforms			
https://dl.acm.org/doi/10.1145/3411764.3445257	the role ofworking memory in program tracing			
https://link.springer.com/article/10.1007/s10009-018-0490-9	the symbolic execution debugger (sed) a platform for interactive symbolic execution, debugging, verification and more			
https://www.scopus.com/record/display.uri?eid=2-s2.0-85115314329&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28verification+of+ofec+code+under+open+roadm+standard+in+300+gbit%2Fs+fpga+system%29&sessionSearchId=7fb924bb0293c8e6b6861993a71cd5be	verification of ofec code under open roadm standard in 300 gbit/s fpga system | open roadm标准ofec码在300 gbit/s fpga系统中的验证			
